unique_id,text_sentences
001,The birch canoe slid on the smooth planks.
002,Glue the sheet to the dark blue background.
003,It's easy to tell the depth of a well.
004,These days a chicken leg is a rare dish.
005,Rice is often served in round bowls.
006,The juice of lemons makes fine punch.
007,The box was thrown beside the parked truck.
008,The hogs were fed chopped corn and garbage.
009,Four hours of steady work faced us.
010,A large size in stockings is hard to sell.
011,The boy was there when the sun rose.
012,A rod is used to catch pink salmon.
013,The source of the huge river is the clear spring.
014,Kick the ball straight and follow through.
015,Help the woman get back to her feet.
016,A pot of tea helps to pass the evening.
017,Smoky fires lack flame and heat.
018,The soft cushion broke the man's fall.
019,The salt breeze came across from the sea.
020,The girl at the booth sold fifty bonds.
021,The small pup gnawed a hole in the sock.
022,The fish twisted and turned on the bent hook.
023,Press the pants and sew a button on the vest.
024,The swan dive was far short of perfect.
025,The beauty of the view stunned the young boy.
026,Two blue fish swam in the tank.
027,Her purse was full of useless trash.
028,The colt reared and threw the tall rider.
029,"It snowed, rained, and hailed the same morning."
030,Read verse out loud for pleasure.
031,Hoist the load to your left shoulder.
032,Take the winding path to reach the lake.
033,Note closely the size of the gas tank.
034,Wipe the grease off his dirty face.
035,Mend the coat before you go out.
036,The wrist was badly strained and hung limp.
037,The stray cat gave birth to kittens.
038,The young girl gave no clear response.
039,The meal was cooked before the bell rang.
040,What joy there is in living.
041,A king ruled the state in the early days.
042,The ship was torn apart on the sharp reef.
043,Sickness kept him home the third week.
044,The wide road shimmered in the hot sun.
045,The lazy cow lay in the cool grass.
046,Lift the square stone over the fence.
047,The rope will bind the seven books at once.
048,Hop over the fence and plunge in.
049,The friendly gang left the drug store.
050,Mesh wire keeps chicks inside.
051,The frosty air passed through the coat.
052,The crooked maze failed to fool the mouse.
053,Adding fast leads to wrong sums.
054,The show was a flop from the very start.
055,A saw is a tool used for making boards.
056,The wagon moved on well oiled wheels.
057,March the soldiers past the next hill.
058,A cup of sugar makes sweet fudge.
059,Place a rosebush near the porch steps.
060,Both lost their lives in the raging storm.
061,We talked of the side show in the circus.
062,Use a pencil to write the first draft.
063,He ran half way to the hardware store.
064,The clock struck to mark the third period.
065,A small creek cut across the field.
066,Cars and busses stalled in snow drifts.
067,The set of china hit the floor with a crash.
068,This is a grand season for hikes on the road.
069,The dune rose from the edge of the water.
070,Those words were the cue for the actor to leave.
071,A yacht slid around the point into the bay.
072,The two met while playing on the sand.
073,The ink stain dried on the finished page.
074,The walled town was seized without a fight.
075,The lease ran out in sixteen weeks.
076,A tame squirrel makes a nice pet.
077,The horn of the car woke the sleeping cop.
078,The heart beat strongly and with firm strokes.
079,The pearl was worn in a thin silver ring.
080,The fruit peel was cut in thick slices.
081,The Navy attacked the big task force.
082,See the cat glaring at the scared mouse.
083,There are more than two factors here.
084,The hat brim was wide and too droopy.
085,The lawyer tried to lose his case.
086,The grass curled around the fence post.
087,Cut the pie into large parts.
088,Men strive but seldom get rich.
089,Always close the barn door tight.
090,He lay prone and hardly moved a limb.
091,The slush lay deep along the street.
092,A wisp of cloud hung in the blue air.
093,A pound of sugar costs more than eggs.
094,The fin was sharp and cut the clear water.
095,The play seems dull and quite stupid.
096,Bail the boat to stop it from sinking.
097,The term ended in late June that year.
098,A tusk is used to make costly gifts.
099,Ten pins were set in order.
100,The bill was paid every third week.
